AcquirerName,TargetName,TransactionAnnouncementDate,PercentageOfSharesAcquired,AcquirerRegion,TargetRegion,PricePerShare,CurrencyCodeOfTransaction,DealPurpose,FormOfTransactionName,TransactionStatus,InitialPricePerShare,PremiumAsOn1DayPriorToAnnouncementDate,PremiumAsOn1WeekPriorToAnnouncementDate,PremiumAsOn4WeeksPriorToAnnouncementDate,AcquirerPublicStatus,TargetPublicStatus,AcquirerMidIndustry,TargetMidIndustry,AnalystEstimatedValue,RatioOfTransactionValueToNetIncome,RatioOfTransactionValueToCashFlow,RatioOfTransactionValueToSales,RatioOfRankvalueToNetIncome,RatioOfRankvalueToCashFlow,RatioOfRankvalueToSales,TransactionValueIncludingNetDebtOfTarget,TransactionEffectiveDate
['Investor Group'],['Tegna Inc'],2020-03-17,0,Americas,Americas,20.0,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,20.0,,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000018,Private,Public,Other Financials,Broadcasting,4400.0,9.024,4.251,1.483,16.299,7.679,2.678,7868.561,2020-03-17
['Investor Group'],['Intu Properties PLC'],2018-10-04,0,Europe,Europe,2.739,STG,"['Strengthen existing operations/expand presence in primary market', 'General strategy to take advantage of sound investment opportunities', 'Allow to offer new products and services']",Merger,Withdrawn,2.739,1970-01-01 00:00:00.000000037,1970-01-01 00:00:00.000000035,1970-01-01 00:00:00.000000039,Private,Public,Other Financials,REITs,,-6.743,7.556,4.829,-17.934,20.096,12.843,8758.848,2018-10-04
['Woodward Inc'],['Hexcel Corp'],2020-01-12,0,Americas,Americas,76.225,US,"['Create synergies, eliminate duplicate services/operations', 'Acquire competitors technology/strategic assets', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,76.225,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999999,Public,Public,Other Industrials,AEROSPACE/DEFENSE,,21.357,11.566,2.783,24.601,13.322,3.206,7552.451,2020-01-12
['Star Entertainment Group Ltd'],['Crown Resorts Ltd'],2021-05-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,9.803,AU,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value']",Merger,Withdrawn,9.803,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000021,Public,Public,Casinos & Gaming,Casinos & Gaming,,-32.885,93.737,6.578,-37.312,106.357,7.464,7531.518,2021-05-10
['GIP IV Hancock Bidco LP'],['Signature Aviation Ltd'],2021-01-11,0,Americas,Europe,5.5,STG,"['Expand presence in new/foreign markets', 'Create synergies, eliminate duplicate services/operations', 'Strengthen operations']",Merger,Withdrawn,5.5,1970-01-01 00:00:00.000000051,1970-01-01 00:00:00.000000059,1970-01-01 00:00:00.000000067,Subsidiary,Public,Other Financials,Transportation & Infrastructure,,-131.448,9.681,2.38,-216.757,15.964,3.925,7526.067,2021-01-11
['Covea'],['Scor SE'],2018-09-04,0,Europe,Europe,49.979,EUR,['Strengthen existing operations/expand presence in primary market'],Merger,Withdrawn,49.979,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000029,Private,Public,INSURANCE,INSURANCE,,25.589,9.656,0.529,25.589,9.656,0.529,8740.028,2018-09-04
['Avangrid Inc'],['TXNM Energy Inc'],2020-10-21,0,Americas,Americas,50.3,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market']",Merger,Withdrawn,50.3,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000023,Public,Public,Power,Power,,18.974,6.299,2.663,35.385,11.748,4.965,7487.742,2020-10-21
['Alimentation Couche-Tard Inc'],['Ampol Ltd'],2019-11-26,0,Americas,Asia Pacific Excluding Central Asia,23.748,AU,"['Increase shareholder value', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,23.243,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000026,Public,Public,Food Processing,Petrochemicals,,22.933,9.016,0.395,27.481,10.805,0.473,7106.106,2019-11-26
['GardaWorld Security Corp'],['G4S Ltd'],2020-09-14,0,Americas,Europe,3.153,STG,"['Strengthen existing operations/expand presence in secondary market', 'Strengthen operations', 'Increase shareholder value', 'Allow to offer new products and services']",Merger,Withdrawn,2.549,1970-01-01 00:00:00.000000061,1970-01-01 00:00:00.000000065,1970-01-01 00:00:00.000000061,Subsidiary,Public,Professional Services,Professional Services,,173.631,5.575,0.488,249.774,8.02,0.702,6960.633,2020-09-14
['Lumentum Holdings Inc'],['Coherent Inc'],2021-01-19,0,Americas,Americas,287.497,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Strengthen operations']",Merger,Withdrawn,226.0,1970-01-01 00:00:00.000000089,1970-01-01 00:00:00.000000063,1970-01-01 00:00:00.000000099,Public,Public,Healthcare Equipment & Supplies,Semiconductors & Semiconductor Equipment,,-16.743,70.575,5.694,-16.512,69.6,5.616,6931.445,2021-01-19
