AcquirerName,TargetName,TransactionAnnouncementDate,PercentageOfSharesAcquired,AcquirerRegion,TargetRegion,PricePerShare,CurrencyCodeOfTransaction,DealPurpose,FormOfTransactionName,TransactionStatus,InitialPricePerShare,PremiumAsOn1DayPriorToAnnouncementDate,PremiumAsOn1WeekPriorToAnnouncementDate,PremiumAsOn4WeeksPriorToAnnouncementDate,AcquirerPublicStatus,TargetPublicStatus,AcquirerMidIndustry,TargetMidIndustry,AnalystEstimatedValue,RatioOfTransactionValueToNetIncome,RatioOfTransactionValueToCashFlow,RatioOfTransactionValueToSales,RatioOfRankvalueToNetIncome,RatioOfRankvalueToCashFlow,RatioOfRankvalueToSales,TransactionValueIncludingNetDebtOfTarget,TransactionEffectiveDate
['Shanghai Lingyi Technology Co Ltd'],['Willing New Energy Co Ltd'],2021-03-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.759,CY,['General strategy to take advantage of sound investment opportunities'],Acquisition Of Partial Interest,Withdrawn,0.759,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999986,Subsidiary,Public,IT Consulting & Services,Machinery,,284.464,75.531,5.116,212.713,56.48,3.825,52.658,2021-03-10
['Nyesa Valores Corporacion'],['Natac Natural Ingredients SA'],2021-02-22,0,Europe,Europe,2.423,EUR,,Merger,Withdrawn,2.423,,1970-01-01 00:00:00.000000062,,Public,Public,REITs,Educational Services,,73.336,0.0,43.25,72.51,-177.709,42.762,52.541,2021-02-22
['Ata Resources Pty Ltd'],['Universal Coal Ltd'],2018-09-18,0,"Africa, Middle East, or Central Asia",Europe,0.256,STG,['Strengthen operations'],Merger,Withdrawn,0.249,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000024,Subsidiary,Public,Other Financials,Metals & Mining,,2.101,1.915,0.479,1.997,1.82,0.456,127.023,2018-09-18
['Hainan Liansheng Technology Co Ltd'],['Leascend Technology Co Ltd'],2021-09-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.478,CY,,Acquisition Of Partial Interest,Withdrawn,0.478,,1969-12-31 23:59:59.999999973,1969-12-31 23:59:59.999999985,Subsidiary,Public,IT Consulting & Services,IT Consulting & Services,,-15.977,64.572,7.289,-19.029,76.91,8.682,52.481,2021-09-29
['Future Enterprises Ltd'],['Future Market Networks Ltd'],2020-08-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.495,RE,['Strengthen operations'],Merger,Withdrawn,0.495,1970-01-01 00:00:00.000000035,1970-01-01 00:00:00.000000042,1970-01-01 00:00:00.000000045,Public,Public,Department Stores,Non Residential,,6.917,3.982,1.642,12.735,7.331,3.024,52.424,2020-08-29
['Thoughtful Brands Inc'],['Goodbody Health Inc(Pre-Reincorporation)'],2020-02-26,0,Americas,Americas,0.603,C,,Merger,Withdrawn,0.603,1970-01-01 00:00:00.000000300,1970-01-01 00:00:00.000000233,1970-01-01 00:00:00.000000434,Public,Public,Pharmaceuticals,Professional Services,,-4.124,0.0,953.719,-3.373,-5.978,780.112,52.293,2020-02-26
['Meng Xiankun'],['Shanghai Xintonglian Packing Co Ltd'],2019-10-25,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.415,CY,,Acquisition Of Partial Interest,Withdrawn,1.415,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000018,Investor,Public,Other Financials,Containers & Packaging,,79.767,42.024,2.967,77.802,40.988,2.894,52.199,2019-10-25
['Pavilion Private Equity Co Ltd'],['Paratech Co Ltd'],2019-08-13,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,5.764,WON,,Acquisition Of Majority Interest,Withdrawn,5.764,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000026,Subsidiary,Public,Other Financials,Machinery,,-4.377,0.0,0.913,-5.185,-5.379,1.081,53.364,2019-08-13
['Investor Group'],['Uniply Industries Ltd'],2019-07-03,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.19,RE,['Response to other bid/tender offer'],Acquisition Of Majority Interest,Withdrawn,1.19,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000067,Private,Public,Other Financials,Construction Supplies & Fixtures,,39.492,24.527,3.329,46.514,28.889,3.921,58.888,2019-07-03
['QANTM Intellectual Property Ltd'],['Xenith IP Group Pty Ltd'],2018-11-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.154,AU,"['Create synergies, eliminate duplicate services/operations', 'Expand presence in new geographical regions']",Merger,Withdrawn,1.154,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000027,Public,Public,Professional Services,Professional Services,,-9.656,8.674,1.122,-9.656,8.674,1.122,102.372,2018-11-27
['Xiamen Hafu Mining Co Ltd'],['Xiamen Wanli Stone Stock Co Ltd'],2020-11-17,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.534,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,2.534,1969-12-31 23:59:59.999999976,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999975,Private,Public,Metals & Mining,Construction Supplies & Fixtures,,-101.685,0.0,3.987,-108.59,-374.217,4.257,50.676,2020-11-17
['Investor Group'],['Jiangsu Shentong Valve Co Ltd'],2020-06-18,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.887,CY,"['Concentrate on core businesses/assets', 'Strengthen existing operations/expand presence in primary market', 'Strengthen operations']",Acquisition Of Partial Interest,Withdrawn,0.887,1969-12-31 23:59:59.999999976,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999984,Private,Public,Other Financials,Other Industrials,,20.971,12.87,2.721,21.653,13.288,2.809,50.619,2020-06-18
['Investor Group'],['Urovo Technology Co Ltd'],2020-02-28,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.952,CY,"['Strengthen existing operations/expand presence in primary market', 'Increase shareholder value']",Acquisition Of Partial Interest,Withdrawn,1.952,1969-12-31 23:59:59.999999976,1969-12-31 23:59:59.999999978,,Private,Public,Other Financials,Telecommunications Equipment,,93.428,37.104,5.436,87.661,34.813,5.1,50.346,2020-02-28
['Seven West Media Ltd'],['PRT Company Ltd'],2019-10-18,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.119,AU,"['Concentrate on core businesses/assets', 'Create synergies, eliminate duplicate services/operations', 'Strengthen operations']",Merger,Withdrawn,0.119,1969-12-31 23:59:59.999999997,1969-12-31 23:59:59.999999995,1970-01-01 00:00:00.000000005,Public,Public,Broadcasting,Broadcasting,,8.68,1.705,0.334,9.981,1.961,0.384,50.041,2019-10-18
['Dream Unlimited Corp'],['Dream Unlimited Corp'],2021-09-17,0,Americas,Americas,21.402,C,['Other'],Buyback,Withdrawn,21.402,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,Public,Public,Other Real Estate,Other Real Estate,,-15.392,35.295,2.655,-31.418,72.046,5.419,50.002,2021-09-17
['Huang Yongjun'],['Beijing Tongtech Co Ltd'],2020-07-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,5.026,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,5.026,1969-12-31 23:59:59.999999969,1969-12-31 23:59:59.999999985,1969-12-31 23:59:59.999999983,Investor,Public,Other Financials,Software,,194.332,134.382,25.231,190.253,131.561,24.701,49.971,2020-07-09
['Investor Group'],['Carry Co Ltd'],2021-09-28,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,17.828,WON,,Acquisition Of Majority Interest,Withdrawn,17.828,1969-12-31 23:59:59.999999964,1969-12-31 23:59:59.999999972,1969-12-31 23:59:59.999999996,Private,Public,Other Financials,Other Energy & Power,,-29.234,0.0,3.232,-29.036,-23.981,3.21,48.313,2021-09-28
['Zhao Jizeng'],['Beijing Lirr High-temperature Materials Co Ltd'],2021-03-05,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.544,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.544,1969-12-31 23:59:59.999999976,1969-12-31 23:59:59.999999981,1969-12-31 23:59:59.999999987,Investor,Public,Other Financials,Building/Construction & Engineering,,9.891,7.677,1.044,10.79,8.375,1.139,48.039,2021-03-05
['Supalai Property Management Co Ltd'],['MK Real Estate Development PCL'],2018-07-11,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.124,BA,['Strengthen operations'],Merger,Withdrawn,0.124,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000028,Subsidiary,Public,Other Real Estate,Other Real Estate,,11.528,6.052,0.94,28.745,15.092,2.343,305.757,2018-07-11
['Zhuzhou Dongligu Industry Investment Development Group Co Ltd'],['Zhonglu Co Ltd'],2020-11-05,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.289,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.289,1969-12-31 23:59:59.999999994,1969-12-31 23:59:59.999999991,,Subsidiary,Public,Asset Management,Automobiles & Components,,-88.349,0.0,3.896,-87.975,-337.245,3.88,47.697,2020-11-05
['Shenzhen AVIC Intelligent Equipment Equity Investment Fund Partnership LP'],['Xuzhou Handler Special Vehicle Co Ltd'],2020-04-14,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.414,CY,"['Strengthen existing operations/expand presence in primary market', 'Proceeds used to pay down existing outstanding debt']",Acquisition Of Partial Interest,Withdrawn,0.414,1969-12-31 23:59:59.999999973,1969-12-31 23:59:59.999999981,1969-12-31 23:59:59.999999980,Private,Public,Alternative Financial Investments,Machinery,,62.07,20.384,1.799,75.815,24.898,2.197,47.631,2020-04-14
['Chexing Tianxia Huizhou Investment Development Co Ltd'],['Nanning Baling Technology Co Ltd'],2018-12-19,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.901,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,2.901,1969-12-31 23:59:59.999999990,1969-12-31 23:59:59.999999995,1970-01-01 00:00:00.000000056,Subsidiary,Public,Other Financials,Automobiles & Components,,124.862,240.703,7.678,119.109,229.611,7.324,90.416,2018-12-19
['Chengdu Economic and Technology Development Zone Jianshe Development Co Ltd'],['Gifore Agricultural Science & Technology Service Co Ltd'],2020-05-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.473,CY,"['Create synergies, eliminate duplicate services/operations', 'General restructuring of business/operations', 'Strengthen operations']",Acquisition Of Partial Interest,Withdrawn,0.473,,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999986,Private,Public,Other Real Estate,Machinery,,-14.779,111.925,0.714,-19.851,150.33,0.959,47.3,2020-05-08
['Chengdu Jiaozi Juntong Investment Development Partnership LP'],['Hezong Sience&Technology Co Ltd'],2020-03-24,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.855,CY,['General strategy to take advantage of sound investment opportunities'],Acquisition Of Partial Interest,Withdrawn,0.855,1969-12-31 23:59:59.999999995,1969-12-31 23:59:59.999999988,1969-12-31 23:59:59.999999982,Subsidiary,Public,Other Financials,Other Energy & Power,,81.177,27.444,2.665,101.518,34.32,3.333,47.245,2020-03-24
['Hainan Dianku Information Consulting Center LP'],['Zhongchang Big Data Corp Ltd'],2020-10-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.343,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.343,1969-12-31 23:59:59.999999980,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999980,Private,Public,Professional Services,Internet Software & Services,,-0.848,78.545,2.128,-1.177,108.995,2.953,46.946,2020-10-27
['Su Zhi'],['Guangzhou Fangbang Electronics Co Ltd'],2021-11-02,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,10.551,CY,,Acquisition Of Partial Interest,Withdrawn,10.551,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999981,Investor,Public,Other Financials,Electronics,,73.689,74.174,21.922,63.285,63.702,18.827,46.896,2021-11-02
['Jiangsu Xinchao Innovation Investment Group Co Ltd'],['Shanghai Xinpeng Industry Co Ltd'],2020-06-04,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.57,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.57,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999980,1969-12-31 23:59:59.999999980,Private,Public,Semiconductors & Semiconductor Equipment,Other Industrials,,20.982,9.716,1.006,20.95,9.701,1.004,46.699,2020-06-04
['Chengdu Yuanhong Biotech Co Ltd'],['Chengdu huasun technology group Inc LTD'],2021-01-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.543,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.543,1969-12-31 23:59:59.999999982,1969-12-31 23:59:59.999999982,1969-12-31 23:59:59.999999979,Subsidiary,Public,Biotechnology,Pharmaceuticals,,65.839,37.145,3.244,55.288,31.192,2.724,46.404,2021-01-21
['Wang Xijuan'],['Beijing Konruns Pharmaceutical Co Ltd'],2021-03-02,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.328,CY,"['Strengthen existing operations/expand presence in primary market', 'Strengthen operations', 'Allow to offer new products and services']",Acquisition Of Partial Interest,Withdrawn,4.328,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999981,Investor,Public,Other Financials,Pharmaceuticals,,26.052,26.627,5.907,18.044,18.442,4.091,46.405,2021-03-02
['Aoyang Group CoLTD'],['Jiangsu Aoyang Health Industry Co Ltd'],2021-07-15,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.626,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.626,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999987,1969-12-31 23:59:59.999999977,Private,Public,Textiles & Apparel,Hospitals,,-3.017,0.0,0.983,-5.784,-13.174,1.884,46.376,2021-07-15
['Rockrose Energy Ltd'],['Iog PLC'],2019-03-05,0,Europe,Europe,0.264,STG,,Merger,Withdrawn,0.264,1970-01-01 00:00:00.000000041,1970-01-01 00:00:00.000000050,1970-01-01 00:00:00.000000042,Public,Public,Oil & Gas,Oil & Gas,,-4.496,0.0,,-9.654,-27.506,,71.849,2019-03-05
['Guangzhou Rail Transit Industry Investment Development Fund LP'],['GuangZhou Baiyun Electric Equipment Co Ltd'],2019-07-23,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.366,CY,,Acquisition Of Partial Interest,Withdrawn,1.366,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999998,1969-12-31 23:59:59.999999994,Private,Public,Asset Management,Other Energy & Power,,89.927,17.363,1.747,117.939,22.772,2.291,49.269,2019-07-23
['Sierra Income Corp'],['Medley Management Inc'],2018-08-09,0,Americas,Americas,3.44,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Other']",Merger,Withdrawn,3.44,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999991,1969-12-31 23:59:59.999999992,Private,Public,Other Financials,Asset Management,,-1.583,3.488,0.648,-10.008,22.049,4.098,121.093,2018-08-09
['PSC Bidco Ltd'],['Prime Car Management SA'],2019-02-20,0,Europe,Europe,6.077,PZ,,Merger,Withdrawn,5.228,1970-01-01 00:00:00.000000152,1970-01-01 00:00:00.000000142,1970-01-01 00:00:00.000000162,Subsidiary,Public,Other Financials,Professional Services,,302.272,1.925,0.728,302.272,1.925,0.728,72.372,2019-02-20
['Chongqing Lvfa Asset Management Co Ltd'],['Chongqing Hifuture Information Technology Co Ltd'],2021-05-13,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.635,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.635,1969-12-31 23:59:59.999999994,1970-01-01 00:00:00.000000006,1969-12-31 23:59:59.999999991,Private,Public,Other Consumer Products,Other Energy & Power,,-3.209,0.0,6.27,-3.519,-120.867,6.875,44.664,2021-05-13
['Innovation Holdings Australia Pty Ltd'],['iSelect Pty Ltd'],2020-08-03,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.286,AU,,Merger,Withdrawn,0.286,1970-01-01 00:00:00.000000110,1970-01-01 00:00:00.000000110,1970-01-01 00:00:00.000000100,Private,Public,Asset Management,INSURANCE,,-4.259,18.818,0.724,-4.259,18.818,0.724,44.376,2020-08-03
['Harman International Industries Inc'],['Nuheara Ltd'],2019-06-25,0,Americas,Asia Pacific Excluding Central Asia,0.058,AU,,Merger,Withdrawn,0.058,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000020,Subsidiary,Public,Electronics,Electronics,,-11.526,0.0,23.248,-10.398,-10.405,20.971,51.808,2019-06-25
['Strike Energy Ltd'],['Warrego Energy Pty Ltd'],2020-03-23,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.069,AU,,Merger,Withdrawn,0.069,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000008,1969-12-31 23:59:59.999999968,Public,Public,Oil & Gas,Oil & Gas,,-10.284,0.0,,-9.199,-19.016,,43.76,2020-03-23
['Shenzhen Lingtai Jishi Investment Partnership LP'],['Shannon Semiconductor Technology Co Ltd'],2020-06-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.157,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.157,1969-12-31 23:59:59.999999997,1969-12-31 23:59:59.999999998,1970-01-01 00:00:00.000000006,Subsidiary,Public,Other Financials,Electronics,,74.855,64.536,11.811,54.164,46.698,8.546,43.73,2020-06-20
['Investor Group'],['Fuji Kosan Co Ltd'],2021-04-28,0,Americas,Japan,11.502,Y,['Increase shareholder value'],Merger,Withdrawn,11.502,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000002,Private,Public,Other Financials,Petrochemicals,,15.766,7.503,0.235,10.116,4.814,0.151,43.465,2021-04-28
['Zhejiang Hanman Technology Co Ltd'],['Zhejiang Busen Garments Co Ltd'],2021-04-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.009,CY,,Acquisition Of Partial Interest,Withdrawn,1.009,1969-12-31 23:59:59.999999980,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999979,Subsidiary,Public,IT Consulting & Services,Textiles & Apparel,,-7.518,0.0,5.254,-7.419,-9.774,5.186,43.406,2021-04-20
['Investor Group'],['Shanghai NAR Industrial Co Ltd'],2020-03-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.542,CY,['Strengthen existing operations/expand presence in primary market'],Acquisition Of Partial Interest,Withdrawn,1.542,1969-12-31 23:59:59.999999975,1969-12-31 23:59:59.999999976,1969-12-31 23:59:59.999999995,Private,Public,Other Financials,Chemicals,,41.779,25.793,1.874,37.603,23.214,1.687,43.163,2020-03-27
['Liao Chuangbin'],['Guangdong CHJ Industry Co Ltd'],2020-09-26,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.479,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.479,1969-12-31 23:59:59.999999974,1969-12-31 23:59:59.999999982,1969-12-31 23:59:59.999999988,Investor,Public,Other Financials,Other Consumer Products,,-78.086,12.112,1.031,-84.939,13.175,1.121,43.14,2020-09-26
['Investor Group'],['Eastern Pioneer Driving School Co Ltd'],2021-09-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.887,CY,,Acquisition Of Partial Interest,Withdrawn,0.887,1969-12-31 23:59:59.999999967,1969-12-31 23:59:59.999999971,1969-12-31 23:59:59.999999970,Private,Public,Other Financials,Educational Services,,19.625,8.751,3.616,22.797,10.166,4.201,42.994,2021-09-09
['Tongfang Investment Co Ltd'],['Beijing StarNeto Technology Co Ltd'],2021-02-22,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,5.529,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,5.529,1969-12-31 23:59:59.999999992,1969-12-31 23:59:59.999999997,1969-12-31 23:59:59.999999979,Private,Public,Other Financials,Aerospace & Defense,,42.038,30.345,8.056,41.492,29.951,7.951,42.764,2021-02-22
['Canfor Corp'],['Canfor Corp'],2019-03-04,0,Americas,Americas,10.681,C,['Other'],Buyback,Withdrawn,10.681,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999990,1969-12-31 23:59:59.999999982,Public,Public,Paper & Forest Products,Paper & Forest Products,,4.05,2.023,0.352,4.405,2.2,0.383,66.872,2019-03-04
['Conversionpoint Technologies Inc'],['Inuvo Inc'],2018-11-05,0,Americas,Americas,0.45,US,,Merger,Withdrawn,0.45,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999975,Private,Public,Advertising & Marketing,Advertising & Marketing,,-21.57,0.0,1.125,-21.801,-146.639,1.137,91.063,2018-11-05
['Beijing Daan Century Investment Management Co Ltd'],['BYBON Group Co Ltd'],2020-02-25,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.084,CY,"['Expand presence in new/foreign markets', 'Strengthen operations']",Acquisition Of Partial Interest,Withdrawn,1.084,1969-12-31 23:59:59.999999974,1969-12-31 23:59:59.999999980,1969-12-31 23:59:59.999999975,Private,Public,Asset Management,Other Consumer Products,,-13.916,0.0,3.66,-11.855,-26.877,3.118,42.468,2020-02-25
['UMS Integration Ltd'],['JEP Holdings Ltd'],2019-05-14,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.109,SG,,Merger,Withdrawn,0.109,1969-12-31 23:59:59.999999988,1969-12-31 23:59:59.999999999,1969-12-31 23:59:59.999999999,Public,Public,Machinery,Machinery,,26.221,5.656,0.701,43.079,9.292,1.151,55.134,2019-05-14
['Ge Hualin'],['Wuhan Nusun Landscape Co Ltd'],2021-08-30,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.316,CY,,Acquisition Of Partial Interest,Withdrawn,2.316,1969-12-31 23:59:59.999999981,1969-12-31 23:59:59.999999980,1969-12-31 23:59:59.999999990,Investor,Public,Other Financials,Building/Construction & Engineering,,478.232,540.627,14.473,488.455,552.184,14.783,42.292,2021-08-30
['Investor Group'],['Guiyang Xintian Pharmaceutical Co Ltd'],2020-05-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.254,CY,['Proceeds used to pay down existing outstanding debt'],Acquisition Of Partial Interest,Withdrawn,2.254,1969-12-31 23:59:59.999999997,1969-12-31 23:59:59.999999993,1969-12-31 23:59:59.999999984,Private,Public,Other Financials,Pharmaceuticals,,40.941,25.413,3.259,42.418,26.329,3.377,42.265,2020-05-20
['Zhang Zhen Cheng'],['China Cultural Tourism and Agriculture Group Ltd'],2019-06-26,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.037,HK,,Acquisition Of Partial Interest,Withdrawn,0.037,1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000040,1970-01-01 00:00:00.000000039,Investor,Public,Other Financials,Other Real Estate,,-14.792,0.0,111.381,-18.676,-67.387,140.62,49.013,2019-06-26
['Korea Particle Therapy Cancer Center Co Ltd'],['Kosun Bio Co Ltd'],2019-09-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.654,WON,,Acquisition Of Partial Interest,Withdrawn,3.285,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000093,Private,Public,Hospitals,Food and Beverage,,-12.341,0.0,111.304,-12.565,-14.795,113.324,41.95,2019-09-09
['Hansang Invest No 1 Association'],['Kosun Bio Co Ltd'],2019-09-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.959,WON,['Other'],Acquisition Of Partial Interest,Withdrawn,1.959,1969-12-31 23:59:59.999999962,1969-12-31 23:59:59.999999958,1970-01-01 00:00:00.000000004,Private,Public,Other Financials,Food and Beverage,,-8.141,0.0,73.428,-8.365,-9.85,75.447,41.95,2019-09-09
['Shaanxi Huaxia Xianhe Enterprise Development Co Ltd'],['Zhejiang Busen Garments Co Ltd'],2021-08-19,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.97,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.97,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999980,1969-12-31 23:59:59.999999974,Private,Public,Asset Management,Textiles & Apparel,,-14.992,0.0,4.86,-14.583,-16.268,4.728,41.91,2021-08-19
['Investor Group'],['Jiangxi Haiyuan Composites Technology Co Ltd'],2021-03-24,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.869,CY,['Strengthen existing operations/expand presence in primary market'],Acquisition Of Partial Interest,Withdrawn,0.869,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999980,1969-12-31 23:59:59.999999986,Private,Public,Other Financials,Machinery,,53.04,1184.293,5.805,55.667,1242.931,6.093,41.694,2021-03-24
['KL & Partnership Co Ltd'],['HuM&C Co Ltd'],2019-09-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,13.052,WON,,Acquisition Of Partial Interest,Withdrawn,13.052,1970-01-01 00:00:00.000000010,1969-12-31 23:59:59.999999984,1969-12-31 23:59:59.999999990,Private,Public,Alternative Financial Investments,Other Materials,,-310.115,0.0,10.431,-274.951,-336.532,9.248,41.7,2019-09-27
['Korea Particle Therapy Cancer Center Co Ltd'],['Kosun Bio Co Ltd'],2019-09-05,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.253,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,3.253,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000088,Private,Public,Hospitals,Food and Beverage,,-11.426,0.0,103.054,-11.65,-13.718,105.073,41.55,2019-09-05
['Korea Particle Therapy Cancer Center Co Ltd'],['Kosun Bio Co Ltd'],2019-09-05,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.253,WON,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,3.253,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000088,Private,Public,Hospitals,Food and Beverage,,-11.426,0.0,103.054,-11.65,-13.718,105.073,41.55,2019-09-05
['Hansang Invest No 2 Association'],['Kosun Bio Co Ltd'],2019-09-05,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.94,WON,['Other'],Acquisition Of Partial Interest,Withdrawn,1.94,1969-12-31 23:59:59.999999962,1969-12-31 23:59:59.999999979,1970-01-01 00:00:00.000000012,Private,Public,Other Financials,Food and Beverage,,-8.141,0.0,73.428,-8.365,-9.85,75.447,41.55,2019-09-05
